"DATA","CASA","PROMOÇÃO/OBJETIVO","UTMs / PIDs","LUCRO/PREJUIZO","ROAS","ENTREGUES","LIDAS","CUSTO","CONV","CONV ftd","C.REG","C.FTD","REGISTROS","FTD","CPAS","CPA ","REG > FTD","FTD > CPA"
"06/07","SuperBet","[06/07] DISP TOTAL 06/07 BASE ABRIL CR7 ODM","pilhado-disp-total-cr7-odm-abril","R$ -11.257,20","0,04","90.440,00","41.415,00","R$ 11.757,20","0,04%","0,01%","R$ 301,47","R$ 1.068,84","39,00","11,00","1,00","R$ 500,00","28,21%","9,09%"
"06/07","SuperBet","[06/07] DISP TOTAL 06/07 BASE MAIO CR7 ODM","pilhado-disp-total-cr7-odm-maio","R$ -7.450,33","0,25","76.541,00","32.960,00","R$ 9.950,33","0,04%","0,01%","R$ 301,53","R$ 1.243,79","33,00","8,00","5,00","R$ 2.500,00","24,24%","62,50%"
"06/07","SuperBet","[06/07] DISP TOTAL 06/07 BASE JUNHO CR7 ODM","pilhado-disp-total-cr7-odm-junho","R$ -8.221,23","0,52","132.471,00","56.015,00","R$ 17.221,23","0,06%","0,03%","R$ 215,27","R$ 441,57","80,00","39,00","18,00","R$ 9.000,00","48,75%","46,15%"
"06/07","SuperBet","[06/07] DISP TOTAL 06/07 BASE JULHO CR7 ODM","pilhado-disp-total-cr7-odm-julho","R$ -385,57","0,96","79.889,00","44.699,00","R$ 10.385,57","0,16%","0,07%","R$ 83,75","R$ 188,83","124,00","55,00","20,00","R$ 10.000,00","44,35%","36,36%"
"07/07","SuperBet","[06/07] DISP TOTAL 07/07 BASE ABRIL MESSI 7777","pilhado-disp-total-messi-7777-abril","R$ -7.668,88","0,21","74.376,00","29.670,00","R$ 9.668,88","0,04%","0,01%","R$ 333,41","R$ 966,89","29,00","10,00","4,00","R$ 2.000,00","34,48%","40,00%"
"07/07","SuperBet","[06/07] DISP TOTAL 07/07 BASE MAIO MESSI 7777","pilhado-disp-total-messi-7777-maio","R$ -5.835,67","0,41","75.659,00","28.577,00","R$ 9.835,67","0,06%","0,02%","R$ 239,89","R$ 702,55","41,00","14,00","8,00","R$ 4.000,00","34,15%","57,14%"
"07/07","SuperBet","[06/07] DISP TOTAL 07/07 BASE JUNHO MESSI 7777","pilhado-disp-total-messi-7777-junho","R$ -6.977,48","0,59","130.596,00","48.157,00","R$ 16.977,48","0,07%","0,03%","R$ 195,14","R$ 414,08","87,00","41,00","20,00","R$ 10.000,00","47,13%","48,78%"
"07/07","SuperBet","[06/07] DISP TOTAL 07/07 BASE JULHO MESSI 7777","pilhado-disp-total-messi-7777-julho","R$ -632,20","0,94","77.940,00","37.861,00","R$ 10.132,20","0,11%","0,05%","R$ 117,82","R$ 259,80","86,00","39,00","19,00","R$ 9.500,00","45,35%","48,72%"
"08/07","SuperBet","[07/07] DISP TOTAL 08/07 BASE SB D1","pilhado-disp-traf-sb-d1","R$ 1.810,07","10,53","1.461,00","851,00","R$ 189,93","0,80%","0,53%","R$ 15,83","R$ 23,74","12,00","8,00","4,00","R$ 2.000,00","66,67%","50,00%"
"08/07","SuperBet","[07/07] DISP TOTAL 08/07 BASE MGM D1","pilhado-disp-traf-mgm-d1","R$ 1.818,13","11,00","1.399,00","689,00","R$ 181,87","0,87%","0,47%","R$ 13,99","R$ 25,98","13,00","7,00","4,00","R$ 2.000,00","53,85%","57,14%"
