"DATA","CASA","PROMOÇÃO/OBJETIVO","UTMs / PIDs","LUCRO/PREJUIZO","ROAS","ENTREGUES","LIDAS","CUSTO","CONV","CONV ftd","C.REG","C.FTD","REGISTROS","FTD","CPAS","CPA ","REG > FTD","FTD > CPA"
"19/07","SuperBet","[18/07] DISP TOTAL 19/07 BASE BETE D1","pilhado-disp-traf-bete-d1","R$ -31,20","0,00","240,00","142,00","R$ 31,20","1,67%","0,00%","R$ 7,80","R$ 0,00","4,00","0,00","0,00","R$ 0,00","0,00%","0,00%"
"19/07","SuperBet","[18/07] DISP TOTAL 19/07 BASE OURO D1","pilhado-disp-traf-d1-ouro","R$ -136,89","0,00","1.053,00","735,00","R$ 136,89","0,47%","0,00%","R$ 27,38","R$ 0,00","5,00","0,00","0,00","R$ 0,00","0,00%","0,00%"
"19/07","MGMBET","[18/07] DISP TOTAL 19/07 BASE SB D3","13398","R$ 496,08","21,74","184,00","110,00","R$ 23,92","1,09%","1,09%","R$ 11,96","R$ 11,96","2,00","2,00","2,00","R$ 520,00","100,00%","100,00%"
"19/07","MGMBET","[18/07] DISP TOTAL 19/07 BASE MGM D3","13538","R$ -7,15","0,00","55,00","31,00","R$ 7,15","1,82%","1,82%","R$ 7,15","R$ 7,15","1,00","1,00","0,00","R$ 0,00","100,00%","0,00%"
"19/07","NoviBet","[18/07] DISP TOTAL 19/07 FINAL COPA 1","","R$ -22.520,29","0,00","173.233,00","73.493,00","R$ 22.520,29","0,53%","0,10%","R$ 24,48","R$ 126,25","918,00","178,00","52,00","R$ 9.360,00","19,39%","29,21%"
"19/07","NoviBet","[18/07] DISP TOTAL 19/07 FINAL COPA 2","","R$ -22.546,55","0,00","173.435,00","73.593,00","R$ 22.546,55","0,59%","0,11%","R$ 21,93","R$ 120,96","1.026,00","186,00","45,00","R$ 8.100,00","18,13%","24,19%"
"20/07","SuperBet"," 	[19/07] DISP TOTAL 20/07 BASE SB D1","pilhado-disp-traf-sb-d1","R$ 825,28","5,72","1.344,00","800,00","R$ 174,72","0,52%","0,22%","R$ 24,96","R$ 58,24","7,00","3,00","2,00","R$ 1.000,00","42,86%","66,67%"
"20/07","SuperBet"," [19/07] DISP TOTAL 20/07 BASE MGM D1","pilhado-disp-traf-mgm-d1","R$ 470,10","16,72","230,00","148,00","R$ 29,90","1,74%","1,30%","R$ 7,48","R$ 9,97","4,00","3,00","1,00","R$ 500,00","75,00%","33,33%"
"20/07","SuperBet"," 	[19/07] DISP TOTAL 20/07 BASE BETE D1","pilhado-disp-traf-bete-d1","R$ -281,58","0,00","2.166,00","1.372,00","R$ 281,58","0,51%","0,05%","R$ 25,60","R$ 281,58","11,00","1,00","0,00","R$ 0,00","9,09%","0,00%"
"20/07","SuperBet"," [19/07] DISP TOTAL 20/07 BASE NOVIBET D1","pilhado-disp-traf-novibet-d1","R$ -422,18","0,78","14.786,00","7.112,00","R$ 1.922,18","0,11%","0,04%","R$ 120,14","R$ 320,36","16,00","6,00","3,00","R$ 1.500,00","37,50%","50,00%"
"20/07","MGMBET"," 	[19/07] DISP TOTAL 20/07 BASE SB D3","13398","R$ -79,56","0,00","612,00","355,00","R$ 79,56","0,82%","0,33%","R$ 15,91","R$ 39,78","5,00","2,00","0,00","R$ 0,00","40,00%","0,00%"
"20/07","MGMBET"," [19/07] DISP TOTAL 20/07 BASE MGM D3","13538","R$ -6,24","0,00","48,00","23,00","R$ 6,24","0,00%","0,00%","R$ 0,00","R$ 0,00","0,00","0,00","0,00","R$ 0,00","0,00%","0,00%"
"20/07","MGMBET"," 	[19/07] DISP TOTAL 20/07 BASE BETE D3","13540","R$ -27,04","0,00","208,00","126,00","R$ 27,04","0,48%","0,48%","R$ 27,04","R$ 27,04","1,00","1,00","0,00","R$ 0,00","100,00%","0,00%"
"21/07","SuperBet"," 	[20/07] DISP TOTAL 21/07 BASE SB D1","pilhado-disp-traf-sb-d1","R$ -56,68","0,00","436,00","285,00","R$ 56,68","2,52%","1,15%","R$ 28,34","R$ 28,34","2,00","2,00","0,00","R$ 0,00","100,00%","0,00%"
"21/07","MGMBET"," 	[20/07] DISP TOTAL 21/07 BASE SB D3","13538","R$ -77,74","0,00","598,00","328,00","R$ 77,74","0,00%","0,00%","R$ 0,00","R$ 0,00","0,00","0,00","0,00","R$ 0,00","0,00%","0,00%"
"21/07","MGMBET"," 	[20/07] DISP TOTAL 21/07 BASE MGM D3 ","13538","R$ -27,95","0,00","215,00","117,00","R$ 27,95","0,00%","0,00%","R$ 0,00","R$ 0,00","0,00","0,00","0,00","R$ 0,00","0,00%","0,00%"
"21/07","MGMBET"," 	[20/07] DISP TOTAL 21/07 BASE BETE D3 ","13540","R$ -30,55","0,00","235,00","117,00","R$ 30,55","0,43%","0,43%","R$ 30,55","R$ 30,55","1,00","1,00","0,00","R$ 0,00","100,00%","0,00%"
"21/07","MGMBET","	[20/07] DISP TOTAL 21/07 BASE OURO D3 ","13549","R$ -134,29","0,00","1.033,00","664,00","R$ 134,29","0,87%","0,39%","R$ 14,92","R$ 33,57","9,00","4,00","0,00","R$ 0,00","44,44%","0,00%"
"21/07","SuperBet","	[20/07] DISP TOTAL 21/07 BASE SB D5 ","pilhado-disp-sb-d5","R$ -23,66","0,00","182,00","97,00","R$ 23,66","0,55%","0,00%","R$ 0,00","R$ 0,00","0,00","0,00","0,00","R$ 0,00","0,00%","0,00%"
"21/07","SuperBet"," 	[20/07] DISP TOTAL 21/07 BASE MGM D5","pilhado-disp-traf-mgm-d5-sb","R$ -7,93","0,00","61,00","30,00","R$ 7,93","1,64%","1,64%","R$ 7,93","R$ 7,93","1,00","1,00","0,00","R$ 0,00","100,00%","0,00%"
"22/07","SuperBet"," [21/07] DISP TOTAL 22/07 BASE SB D1","pilhado-disp-traf-sb-d1","R$ -63,70","0,00","490,00","316,00","R$ 63,70","0,00%","0,20%","R$ 0,00","R$ 63,70","0,00","1,00","0,00","R$ 0,00","0,00%","0,00%"
"22/07","SuperBet"," [21/07] DISP TOTAL 22/07 BASE MGM D1","pilhado-disp-traf-mgm-d1","R$ -13,52","0,00","104,00","71,00","R$ 13,52","0,00%","0,00%","R$ 0,00","R$ 0,00","0,00","0,00","0,00","R$ 0,00","0,00%","0,00%"
"22/07","MGMBET"," [21/07] DISP TOTAL 22/07 BASE SB D3","13398","R$ 100,10","1,63","1.230,00","658,00","R$ 159,90","1,06%","0,41%","R$ 14,54","R$ 31,98","11,00","5,00","1,00","R$ 260,00","45,45%","20,00%"
"22/07","MGMBET"," [21/07] DISP TOTAL 22/07 BASE MGM D3","13538","R$ -27,17","0,00","209,00","122,00","R$ 27,17","0,96%","0,00%","R$ 13,59","R$ 0,00","2,00","0,00","0,00","R$ 0,00","0,00%","0,00%"
"22/07","MGMBET"," [21/07] DISP TOTAL 22/07 BASE BETE D3","13540","R$ -254,54","0,00","1.958,00","1.098,00","R$ 254,54","0,00%","0,00%","R$ 84,85","R$ 127,27","3,00","2,00","0,00","R$ 0,00","66,67%","0,00%"
"22/07","MGMBET"," [21/07] DISP TOTAL 22/07 BASE NOVIBET D3","13550","R$ -1.528,93","0,15","13.761,00","5.678,00","R$ 1.788,93","0,20%","0,06%","R$ 66,26","R$ 223,62","27,00","8,00","1,00","R$ 260,00","29,63%","12,50%"
"22/07","SuperBet"," [21/07] DISP TOTAL 22/07 BASE SB D5","pilhado-disp-sb-d5","R$ -76,44","0,00","588,00","297,00","R$ 76,44","0,00%","0,17%","R$ 0,00","R$ 0,00","0,00","0,00","0,00","R$ 0,00","0,00%","0,00%"
"22/07","SuperBet"," [21/07] DISP TOTAL 22/07 BASE MGM D5","pilhado-disp-traf-mgm-d5-sb","R$ 493,89","81,83","47,00","24,00","R$ 6,11","0,00%","2,13%","R$ 0,00","R$ 6,11","0,00","1,00","1,00","R$ 500,00","0,00%","100,00%"
"22/07","SuperBet"," [21/07] DISP TOTAL 22/07 BASE BETE D5","pilhado-disp-bete-d5-sb","R$ -25,48","0,00","196,00","91,00","R$ 25,48","0,00%","0,00%","R$ 0,00","R$ 0,00","0,00","0,00","0,00","R$ 0,00","0,00%","0,00%"
"23/07","SuperBet"," [22/07] DISP TOTAL 23/07 BASE SB D1","pilhado-disp-traf-sb-d1","R$ -20,15","0,00","155,00","103,00","R$ 20,15","2,60%","0,65%","R$ 5,04","R$ 20,15","4,00","1,00","0,00","R$ 0,00","25,00%","0,00%"
"23/07","SuperBet"," [22/07] DISP TOTAL 23/07 BASE MGM D1","pilhado-disp-traf-mgm-d1","R$ -17,42","0,00","134,00","91,00","R$ 17,42","0,76%","0,76%","R$ 17,42","R$ 17,42","1,00","1,00","0,00","R$ 0,00","100,00%","0,00%"
"23/07","MGMBET"," [22/07] DISP TOTAL 23/07 BASE SB D3","13398","R$ 467,09","9,83","407,00","241,00","R$ 52,91","1,25%","0,75%","R$ 10,58","R$ 17,64","5,00","3,00","2,00","R$ 520,00","60,00%","66,67%"
"23/07","SuperBet"," [22/07] DISP TOTAL 23/07 BASE SB D5","pilhado-disp-sb-d5","R$ -73,58","0,00","566,00","267,00","R$ 73,58","0,00%","0,00%","R$ 0,00","R$ 0,00","0,00","0,00","0,00","R$ 0,00","0,00%","0,00%"
"23/07","SuperBet"," [22/07] DISP TOTAL 23/07 BASE MGM D5","pilhado-disp-traf-mgm-d5-sb","R$ -26,00","0,00","200,00","101,00","R$ 26,00","1,02%","0,51%","R$ 13,00","R$ 26,00","2,00","1,00","0,00","R$ 0,00","50,00%","0,00%"
"23/07","SuperBet"," [22/07] DISP TOTAL 23/07 BASE BETE D5","pilhado-disp-bete-d5-sb","R$ -30,16","0,00","232,00","101,00","R$ 30,16","0,00%","0,00%","R$ 0,00","R$ 0,00","0,00","0,00","0,00","R$ 0,00","0,00%","0,00%"
"23/07","SuperBet"," [22/07] DISP TOTAL 23/07 BASE OURO D5","pilhado-disp-ouro-d5","R$ -124,15","0,00","955,00","529,00","R$ 124,15","0,00%","0,00%","R$ 0,00","R$ 0,00","0,00","0,00","0,00","R$ 0,00","0,00%","0,00%"
"25/07","SuperBet"," [24/07] DISP TOTAL 25/07 BASE SB D1","pilhado-disp-traf-sb-d1","R$ -16,51","0,00","127,00","82,00","R$ 16,51","0,79%","1,57%","R$ 16,51","R$ 8,26","1,00","2,00","0,00","R$ 0,00","200,00%","0,00%"
"25/07","SuperBet"," [24/07] DISP TOTAL 25/07 BASE MGM D1","pilhado-disp-traf-mgm-d1","R$ -17,68","0,00","136,00","81,00","R$ 17,68","0,00%","0,00%","R$ 0,00","R$ 0,00","0,00","0,00","0,00","R$ 0,00","0,00%","0,00%"
"25/07","SuperBet"," [24/07] DISP TOTAL 25/07 BASE VAIDEBET D1","pilhado-disp-traf-vaidebet-d1","R$ 452,42","10,51","366,00","240,00","R$ 47,58","1,10%","0,55%","R$ 11,90","R$ 23,79","4,00","2,00","1,00","R$ 500,00","50,00%","50,00%"
"25/07","MGMBET"," [24/07] DISP TOTAL 25/07 BASE SB D3","13398","R$ 200,33","4,36","459,00","261,00","R$ 59,67","1,09%","0,22%","R$ 11,93","R$ 59,67","5,00","1,00","1,00","R$ 260,00","20,00%","100,00%"
"25/07","MGMBET"," [24/07] DISP TOTAL 25/07 BASE MGM D3","13538","R$ -12,09","0,00","93,00","57,00","R$ 12,09","0,00%","0,00%","R$ 12,09","R$ 0,00","1,00","0,00","0,00","R$ 0,00","0,00%","0,00%"
"25/07","SuperBet"," [24/07] DISP TOTAL 25/07 BASE SB D5","pilhado-disp-sb-d5","R$ -154,44","0,00","1.188,00","535,00","R$ 154,44","0,34%","0,00%","R$ 0,00","R$ 0,00","0,00","0,00","0,00","R$ 0,00","0,00%","0,00%"
"25/07","SuperBet"," [24/07] DISP TOTAL 25/07 BASE MGM D5","pilhado-disp-traf-mgm-d5-sb","R$ -26,00","0,00","200,00","109,00","R$ 26,00","0,00%","0,00%","R$ 0,00","R$ 0,00","0,00","0,00","0,00","R$ 0,00","0,00%","0,00%"
"25/07","SuperBet"," [24/07] DISP TOTAL 25/07 BASE BETE D5","pilhado-disp-bete-d5-sb","R$ -242,19","0,00","1.863,00","919,00","R$ 242,19","0,16%","0,00%","R$ 0,00","R$ 0,00","0,00","0,00","0,00","R$ 0,00","0,00%","0,00%"
"25/07","SuperBet"," [24/07] DISP TOTAL 25/07 BASE NOVIBET D5","pilhado-disp-traf-novi-d5-sb","R$ -1.214,18","0,29","13.186,00","4.558,00","R$ 1.714,18","0,06%","0,02%","R$ 214,27","R$ 571,39","8,00","3,00","1,00","R$ 500,00","37,50%","33,33%"
"26/07","SuperBet","  [25/07] DISP TOTAL 26/07 BASE SB D1","pilhado-disp-traf-sb-d1","R$ 976,08","41,81","184,00","121,00","R$ 23,92","2,17%","1,63%","R$ 5,98","R$ 7,97","4,00","3,00","2,00","R$ 1.000,00","75,00%","66,67%"
"26/07","SuperBet","  [25/07] DISP TOTAL 26/07 BASE MGM D1","pilhado-disp-traf-mgm-d1","R$ 483,62","30,53","126,00","81,00","R$ 16,38","0,79%","0,79%","R$ 16,38","R$ 16,38","1,00","1,00","1,00","R$ 500,00","100,00%","100,00%"
"26/07","SuperBet","  [25/07] DISP TOTAL 26/07 BASE VAIDEBET D1","pilhado-disp-traf-vaidebet-d1","R$ 473,09","18,58","207,00","138,00","R$ 26,91","0,00%","0,00%","R$ 0,00","R$ 0,00","0,00","0,00","1,00","R$ 500,00","0,00%","0,00%"
"26/07","SuperBet","  [25/07] DISP TOTAL 26/07 BASE NOVIBET D1","pilhado-disp-traf-novibet-d1","R$ -5,20","0,00","40,00","27,00","R$ 5,20","0,00%","0,00%","R$ 0,00","R$ 0,00","0,00","0,00","0,00","R$ 0,00","0,00%","0,00%"
"26/07","MGMBET","  [25/07] DISP TOTAL 26/07 BASE SB D3","13398","R$ 500,76","27,03","148,00","82,00","R$ 19,24","0,68%","0,00%","R$ 19,24","R$ 0,00","1,00","0,00","2,00","R$ 520,00","0,00%","0,00%"
"26/07","MGMBET","  [25/07] DISP TOTAL 26/07 BASE MGM D3","13538","R$ -16,51","0,00","127,00","79,00","R$ 16,51","0,79%","0,00%","R$ 16,51","R$ 0,00","1,00","0,00","0,00","R$ 0,00","0,00%","0,00%"
"26/07","SuperBet","  [25/07] DISP TOTAL 26/07 BASE SB D5","pilhado-disp-traf-mgm-d5-sb","R$ -50,18","0,00","386,00","183,00","R$ 50,18","0,52%","0,26%","R$ 0,00","R$ 0,00","0,00","0,00","0,00","R$ 0,00","0,00%","0,00%"
"27/07","SuperBet","  [27/07] DISP TOTAL 27/07 BASE SB D1","pilhado-disp-traf-sb-d1","R$ -27,56","0,00","212,00","127,00","R$ 27,56","0,47%","0,00%","R$ 27,56","R$ 0,00","1,00","0,00","0,00","R$ 0,00","0,00%","0,00%"
"27/07","SuperBet","  [27/07] DISP TOTAL 27/07 BASE MGM D1","pilhado-disp-traf-mgm-d1","R$ 486,48","36,98","104,00","74,00","R$ 13,52","0,96%","0,96%","R$ 13,52","R$ 13,52","1,00","1,00","1,00","R$ 500,00","100,00%","100,00%"
"27/07","SuperBet","  [27/07] DISP TOTAL 27/07 BASE VAIDEBET D1","pilhado-disp-traf-vaidebet-d1","R$ -162,11","0,00","1.247,00","753,00","R$ 162,11","0,48%","0,00%","R$ 54,04","R$ 0,00","3,00","0,00","0,00","R$ 0,00","0,00%","0,00%"
"27/07","MGMBET","  [27/07] DISP TOTAL 27/07 BASE SB D3","13398","R$ -16,51","0,00","127,00","81,00","R$ 16,51","3,94%","2,36%","R$ 3,30","R$ 5,50","5,00","3,00","0,00","R$ 0,00","60,00%","0,00%"
"27/07","MGMBET","[27/07] DISP TOTAL 27/07 BASE MGM D3","13538","R$ -17,42","0,00","134,00","71,00","R$ 17,42","0,00%","0,00%","R$ 0,00","R$ 0,00","0,00","0,00","0,00","R$ 0,00","0,00%","0,00%"
"27/07","MGMBET","[27/07] DISP TOTAL 27/07 BASE VAIDEBET D3","13547","R$ -46,15","0,00","355,00","210,00","R$ 46,15","0,56%","0,28%","R$ 23,08","R$ 46,15","2,00","1,00","0,00","R$ 0,00","50,00%","0,00%"
"27/07","SuperBet","[27/07] DISP TOTAL 27/07 BASE MGM D5","pilhado-disp-traf-mgm-d5-sb","R$ -11,70","0,00","90,00","49,00","R$ 11,70","0,00%","0,00%","R$ 0,00","R$ 0,00","0,00","0,00","0,00","R$ 0,00","0,00%","0,00%"
"27/07","SuperBet","[27/07] DISP TOTAL 27/07 BASE SB D5","pilhado-disp-sb-d5","R$ -57,85","0,00","445,00","212,00","R$ 57,85","0,23%","0,23%","R$ 0,00","R$ 0,00","0,00","0,00","0,00","R$ 0,00","0,00%","0,00%"
"28/07","MGMBET","  [28/07] DISP TOTAL 28/07 BASE SB D3","13398","R$ -22,36","0,00","172,00","106,00","R$ 22,36","1,75%","1,17%","R$ 7,45","R$ 11,18","3,00","2,00","0,00","R$ 0,00","66,67%","0,00%"
"28/07","MGMBET","  [28/07] DISP TOTAL 28/07 BASE MGM D3","13538","R$ -14,56","0,00","112,00","64,00","R$ 14,56","0,00%","0,00%","R$ 0,00","R$ 0,00","0,00","0,00","0,00","R$ 0,00","0,00%","0,00%"
"28/07","MGMBET","  [28/07] DISP TOTAL 28/07 BASE NOVIBET D3","13550","R$ -5,07","0,00","39,00","23,00","R$ 5,07","0,00%","0,00%","R$ 0,00","R$ 0,00","0,00","0,00","0,00","R$ 0,00","0,00%","0,00%"
"28/07","MGMBET","  [28/07] DISP TOTAL 28/07 BASE VAIDEBET D3","13547","R$ -25,74","0,00","198,00","127,00","R$ 25,74","1,52%","0,51%","R$ 8,58","R$ 25,74","3,00","1,00","0,00","R$ 0,00","33,33%","0,00%"
"28/07","SuperBet","  [28/07] DISP TOTAL 28/07 BASE SB D5","pilhado-disp-sb-d5","R$ -18,59","0,00","143,00","69,00","R$ 18,59","0,00%","0,00%","R$ 0,00","R$ 0,00","0,00","0,00","0,00","R$ 0,00","0,00%","0,00%"
"28/07","SuperBet","  [28/07] DISP TOTAL 28/07 BASE MGM D5","pilhado-disp-traf-mgm-d5-sb","R$ -15,60","0,00","120,00","63,00","R$ 15,60","0,00%","0,00%","R$ 0,00","R$ 0,00","0,00","0,00","0,00","R$ 0,00","0,00%","0,00%"
"29/07","SuperBet","[28/07] DISP TOTAL 29/07 BASE SB D1","pilhado-disp-traf-sb-d1","R$ -21,84","0,00","168,00","103,00","R$ 21,84","0,00%","0,00%","R$ 0,00","R$ 0,00","0,00","0,00","0,00","R$ 0,00","0,00%","0,00%"
"29/07","SuperBet","[28/07] DISP TOTAL 29/07 BASE MGM D1","pilhado-disp-traf-mgm-d1","R$ -26,78","0,00","206,00","125,00","R$ 26,78","0,00%","0,00%","R$ 0,00","R$ 0,00","0,00","0,00","0,00","R$ 0,00","0,00%","0,00%"
"29/07","MGMBET","[28/07] DISP TOTAL 29/07 BASE SB D3","13398","R$ 235,04","10,42","192,00","86,00","R$ 24,96","2,60%","2,08%","R$ 4,99","R$ 6,24","5,00","4,00","1,00","R$ 260,00","80,00%","25,00%"
"29/07","MGMBET","[28/07] DISP TOTAL 29/07 BASE MGM D3","13538","R$ -11,96","0,00","92,00","56,00","R$ 11,96","1,09%","1,09%","R$ 11,96","R$ 11,96","1,00","1,00","0,00","R$ 0,00","100,00%","0,00%"
"29/07","MGMBET","[28/07] DISP TOTAL 29/07 BASE VAIDEBET D3","13547","R$ 184,73","3,45","579,00","282,00","R$ 75,27","0,87%","0,52%","R$ 15,05","R$ 25,09","5,00","3,00","1,00","R$ 260,00","60,00%","33,33%"
"29/07","SuperBet","[28/07] DISP TOTAL 29/07 BASE SB D5","pilhado-disp-sb-d5","R$ -15,86","0,00","122,00","62,00","R$ 15,86","0,00%","0,00%","R$ 0,00","R$ 0,00","0,00","0,00","0,00","R$ 0,00","0,00%","0,00%"
"29/07","SuperBet","[28/07] DISP TOTAL 29/07 BASE MGM D5","pilhado-disp-traf-mgm-d5-sb","R$ -16,77","0,00","129,00","59,00","R$ 16,77","0,00%","0,00%","R$ 0,00","R$ 0,00","0,00","0,00","0,00","R$ 0,00","0,00%","0,00%"
"29/07","SuperBet","[28/07] DISP TOTAL 29/07 BASE VAIDEBET D5","pilhado-disp-traf-vaidebet-d5-sb","R$ -45,24","0,00","348,00","149,00","R$ 45,24","0,00%","0,00%","R$ 0,00","R$ 0,00","0,00","0,00","0,00","R$ 0,00","0,00%","0,00%"
"30/07","SuperBet","[29/07] DISP TOTAL 30/07 BASE SB D1","pilhado-disp-traf-sb-d1","R$ -7,41","0,00","57,00","29,00","R$ 7,41","0,00%","0,00%","R$ 0,00","R$ 0,00","0,00","0,00","0,00","R$ 0,00","0,00%","0,00%"
"30/07","SuperBet","[29/07] DISP TOTAL 30/07 BASE MGM D1","pilhado-disp-traf-mgm-d1","R$ -20,41","0,00","157,00","77,00","R$ 20,41","0,00%","0,00%","R$ 20,41","R$ 0,00","1,00","0,00","0,00","R$ 0,00","0,00%","0,00%"
"30/07","SuperBet","[29/07] DISP TOTAL 30/07 BASE SB D5","pilhado-disp-sb-d5","R$ -20,54","0,00","158,00","67,00","R$ 20,54","0,00%","0,00%","R$ 0,00","R$ 0,00","0,00","0,00","0,00","R$ 0,00","0,00%","0,00%"
"30/07","SuperBet","[29/07] DISP TOTAL 30/07 BASE MGM D5","pilhado-disp-traf-mgm-d5-sb","R$ -12,35","0,00","95,00","37,00","R$ 12,35","0,00%","0,00%","R$ 12,35","R$ 12,35","1,00","1,00","0,00","R$ 0,00","100,00%","0,00%"
"30/07","SuperBet","[29/07] DISP TOTAL 30/07 BASE VAIDEBET D5","pilhado-disp-traf-vaidebet-d5-sb","R$ -24,31","0,00","187,00","74,00","R$ 24,31","0,00%","0,00%","R$ 0,00","R$ 0,00","0,00","0,00","0,00","R$ 0,00","0,00%","0,00%"
"30/07","SuperBet","[29/07] DISP TOTAL 30/07 BASE NOVIBET D5","pilhado-disp-traf-novi-d5-sb","R$ -4,68","0,00","36,00","14,00","R$ 4,68","0,00%","0,00%","R$ 0,00","R$ 0,00","0,00","0,00","0,00","R$ 0,00","0,00%","0,00%"
"30/07","MGMBET"," [29/07] DISP TOTAL 30/07 BOLAO MGM","13551","R$ -3.140,54","0,00","24.158,00","6.936,00","R$ 3.140,54","0,00%","0,00%","R$ 95,17","R$ 392,57","33,00","8,00","0,00","R$ 0,00","24,24%","0,00%"
"15/07","Selecione","[14/07] DISP 15/07 RMKT LOW TICKET","-","R$ -3,77","0,00","29,00","18,00","R$ 3,77","0,00%","0,00%","","","0,00","0,00","0,00","R$ 0,00","",""
"20/07","SuperBet","[19/07] DISP TOTAL 20/07 BASE SB D5","pilhado-disp-sb-d5","R$ -18,59","0,00","143,00","75,00","R$ 18,59","0,00%","0,00%","R$ 0,00","R$ 0,00","0,00","0,00","0,00","R$ 0,00","0,00%","0,00%"
"","","","","R$ 190.128,15","1,34","4.286.245,00","","R$ 557.211,85","0,20%","0,08%","R$ 64,93","R$ 167,33","8.582,00","3.330,00","1.587,00","R$ 747.340,00","38,80%","47,66%"
