DATA,CASA,PROMOÇÃO/OBJETIVO,UTMs / PIDs,LUCRO/PREJUIZO,ROAS,ENTREGUES,LIDAS,CUSTO,CONV,CONV ftd,C.REG,C.FTD,REGISTROS,FTD,CPAS,CPA ,REG > FTD,FTD > CPA
12/07,SuperBet,[11/07] DISP TOTAL 12/07 BASE SB D5,pilhado-disp-sb-d5,"R$ 353,60","3,13","1.280,00",,"R$ 166,40","0,31%","0,23%","R$ 41,60","R$ 55,47","4,00","3,00","2,00","R$ 520,00","75,00%","66,67%"
13/07,SuperBet,[13/07] DISP TOTAL 13/07 BASE SB D1,pilhado-disp-traf-sb-d1,"-R$ 110,63","0,00","851,00",,"R$ 110,63","0,71%","0,24%","R$ 18,44","R$ 55,32","6,00","2,00","0,00","R$ 0,00","33,33%","0,00%"
13/07,MGMBET,[13/07] DISP TOTAL 13/07 BASE SB D3,13398,"R$ 143,13","2,22","899,00",,"R$ 116,87","1,67%","0,78%","R$ 7,79","R$ 16,70","15,00","7,00","1,00","R$ 260,00","46,67%","14,29%"
13/07,MGMBET,[13/07] DISP TOTAL 13/07 BASE MGM D3,13538,"-R$ 86,19","0,00","663,00",,"R$ 86,19","0,90%","0,30%","R$ 14,37","R$ 43,10","6,00","2,00","0,00","R$ 0,00","33,33%","0,00%"
13/07,MGMBET,[13/07] DISP TOTAL 13/07 BASE BETE D3,13540,"-R$ 17,94","0,00","138,00",,"R$ 17,94","2,17%","0,72%","R$ 5,98","R$ 17,94","3,00","1,00","0,00","R$ 0,00","33,33%","0,00%"
13/07,SuperBet,[13/07] DISP TOTAL 13/07 BASE SB D5,pilhado-disp-sb-d5,"-R$ 113,75","0,00","875,00",,"R$ 113,75","0,23%","0,23%","R$ 56,88","R$ 56,88","2,00","2,00","0,00","R$ 0,00","100,00%","0,00%"
13/07,SuperBet,[13/07] DISP TOTAL 13/07 BASE MGM D5,pilhado-disp-traf-mgm-d5-sb,"-R$ 113,36","0,00","872,00",,"R$ 113,36","0,34%","0,11%","R$ 37,79","R$ 113,36","3,00","1,00","0,00","R$ 0,00","33,33%","0,00%"
13/07,SuperBet,[13/07] DISP TOTAL 13/07 BASE BETE D5,pilhado-disp-bete-d5-sb,"-R$ 168,35","0,00","1.295,00",,"R$ 168,35","0,23%","0,15%","R$ 56,12","R$ 84,18","3,00","2,00","0,00","R$ 0,00","66,67%","0,00%"
14/07,SuperBet,[13/06] DISP TOTAL 14/07 BASE JUN/JULHO SEMIFINAL 01,pilhado-disp-total-semifinal-01,"R$ 11.711,80","1,39","229.140,00",,"R$ 29.788,20","0,18%","0,06%","R$ 74,10","R$ 202,64","402,00","147,00","83,00","R$ 41.500,00","36,57%","56,46%"
14/07,MGMBET,[13/07] DISP TOTAL 14/07 BASE SB D3,13398,"R$ 658,71","6,43","933,00",,"R$ 121,29","1,50%","0,75%","R$ 8,66","R$ 17,33","14,00","7,00","3,00","R$ 780,00","50,00%","42,86%"
14/07,MGMBET,[13/07] DISP TOTAL 14/07 BASE MGM D3,13538,"-R$ 98,54","0,00","758,00",,"R$ 98,54","1,45%","0,79%","R$ 8,96","R$ 16,42","11,00","6,00","0,00","R$ 0,00","54,55%","0,00%"
14/07,SuperBet,	[13/07] DISP TOTAL 14/07 BASE MGM D5,pilhado-disp-traf-mgm-d5-sb,"R$ 856,74","6,98","1.102,00",,"R$ 143,26","0,27%","0,27%","R$ 47,75","R$ 47,75","3,00","3,00","2,00","R$ 1.000,00","100,00%","66,67%"
14/07,SuperBet, [13/07] DISP TOTAL 14/07 BASE BETE D5,pilhado-disp-bete-d5-sb,"-R$ 26,52","0,00","204,00",,"R$ 26,52","0,00%","0,00%",,,"0,00","0,00","0,00","R$ 0,00","0,00%","0,00%"
14/07,SuperBet, [13/07] DISP TOTAL 14/07 BASE VDB D5,pilhado-disp-traf-vaidebet-d5-sb,"-R$ 144,04","0,00","1.108,00",,"R$ 144,04","0,00%","0,00%",,,"0,00","0,00","0,00","R$ 0,00","0,00%","0,00%"
14/07,MGMBET, [13/07] DISP TOTAL 14/07 BASE SB D7,13422,"-R$ 148,07","0,00","1.139,00",,"R$ 148,07","0,35%","0,09%","R$ 37,02","R$ 148,07","4,00","1,00","0,00","R$ 0,00","25,00%","0,00%"
14/07,MGMBET,[13/07] DISP TOTAL 14/07 BASE MGM D7,13542,"-R$ 149,37","0,00","1.149,00",,"R$ 149,37","0,00%","0,00%",,,"0,00","0,00","0,00","R$ 0,00","0,00%","0,00%"
15/07,SuperBet,[14/07] DISP TOTAL 15/07 BASE JUNHO/JULHO SEMIFINAL 02,pilhado-disp-total-semifinal-02,"-R$ 13.896,11","0,58","253.047,00",,"R$ 32.896,11","0,07%","0,03%","R$ 184,81","R$ 490,99","178,00","67,00","38,00","R$ 19.000,00","37,64%","56,72%"
15/07,MGMBET,[14/07] DISP TOTAL 15/07 BASE SB D3,13398,"R$ 680,16","7,81","768,00",,"R$ 99,84","1,30%","0,78%","R$ 9,98","R$ 16,64","10,00","6,00","3,00","R$ 780,00","60,00%","50,00%"
15/07,SuperBet,[14/07] DISP TOTAL 15/07 BASE MGM D5,pilhado-disp-traf-mgm-d5-sb,"R$ 101,92","1,64","1.216,00",,"R$ 158,08","0,16%","0,08%","R$ 79,04","R$ 158,08","2,00","1,00","1,00","R$ 260,00","50,00%","100,00%"
15/07,SuperBet,[14/07] DISP TOTAL 15/07 BASE BETE D5,pilhado-disp-bete-d5-sb,"R$ 131,04","2,02","992,00",,"R$ 128,96","0,10%","0,10%","R$ 128,96","R$ 128,96","1,00","1,00","1,00","R$ 260,00","100,00%","100,00%"
15/07,SuperBet,[14/07] DISP TOTAL 15/07 BASE VAIDEBET D5,pilhado-disp-traf-vaidebet-d5-sb,"R$ 359,06","3,23","1.238,00",,"R$ 160,94","0,24%","0,16%","R$ 53,65","R$ 80,47","3,00","2,00","2,00","R$ 520,00","66,67%","100,00%"
15/07,MGMBET,[14/07] DISP TOTAL 15/07 BASE SB D7,13422,"R$ 149,89","2,36","847,00",,"R$ 110,11","0,59%","0,12%","R$ 22,02","R$ 110,11","5,00","1,00","1,00","R$ 260,00","20,00%","100,00%"
15/07,MGMBET,[14/07] DISP TOTAL 15/07 BASE MGM D7,13542,"R$ 149,37","2,35","851,00",,"R$ 110,63","0,35%","0,12%","R$ 36,88","R$ 110,63","3,00","1,00","1,00","R$ 260,00","33,33%","100,00%"
15/07,MGMBET,[14/07] DISP TOTAL 15/07 BASE BETE D7,13544,"R$ 93,47","1,56","1.281,00",,"R$ 166,53","0,23%","0,16%","R$ 55,51","R$ 83,27","3,00","2,00","1,00","R$ 260,00","66,67%","50,00%"
15/07,MGMBET,[14/07] DISP TOTAL 15/07 BASE VAIDEBET D7,13548,"-R$ 48,49","0,00","373,00",,"R$ 48,49","0,27%","0,00%","R$ 48,49",,"1,00","0,00","0,00","R$ 0,00","0,00%","0,00%"
16/07,Selecione,	[15/07] DISP 16/07 RMKT LOW TICKET,-,"-R$ 101,92","0,00","784,00",,"R$ 101,92","0,00%","0,00%",,,"0,00","0,00","0,00","R$ 0,00",#DIV/0!,#DIV/0!
16/07,SuperBet,	[15/07] DISP TOTAL 16/07 BASE SB D1,pilhado-disp-traf-sb-d1,"-R$ 21,58","0,00","166,00",,"R$ 21,58","1,20%","0,00%","R$ 10,79",,"2,00","0,00","0,00","R$ 0,00","0,00%",#DIV/0!
16/07,MGMBET,	[15/07] DISP TOTAL 16/07 BASE SB D3,13398,"R$ 165,88","2,76","724,00",,"R$ 94,12","0,41%","0,41%","R$ 31,37","R$ 31,37","3,00","3,00","1,00","R$ 260,00","100,00%","33,33%"
16/07,SuperBet,	[15/07] DISP TOTAL 16/07 BASE SB D5,pilhado-disp-sb-d5,"-R$ 128,57","0,00","989,00",,"R$ 128,57","0,30%","0,20%","R$ 42,86","R$ 64,29","3,00","2,00","0,00","R$ 0,00","66,67%","0,00%"
16/07,SuperBet,	[15/07] DISP TOTAL 16/07 BASE MGM D5,pilhado-disp-traf-mgm-d5-sb,"R$ 393,27","4,68","821,00",,"R$ 106,73","0,12%","0,24%","R$ 106,73","R$ 53,37","1,00","2,00","1,00","R$ 500,00","200,00%","50,00%"
17/07,SuperBet,[16/07] DISP TOTAL 17/07 BASE MGM D1,pilhado-disp-traf-mgm-d1,"R$ 491,29","57,41","67,00",,"R$ 8,71","1,49%","1,49%","R$ 8,71","R$ 8,71","1,00","1,00","1,00","R$ 500,00","100,00%","100,00%"
17/07,SuperBet, [16/07] DISP TOTAL 17/07 BASE SB D1,pilhado-disp-traf-sb-d1,"R$ 472,70","18,32","210,00",,"R$ 27,30","0,00%","0,00%",,,"0,00","0,00","1,00","R$ 500,00",#DIV/0!,#DIV/0!
17/07,SuperBet,	[16/07] DISP TOTAL 17/07 BASE SB D5,pilhado-disp-traf-novi-d5-sb,"R$ 877,28","8,15","944,00",,"R$ 122,72","0,32%","0,21%","R$ 40,91","R$ 61,36","3,00","2,00","2,00","R$ 1.000,00","66,67%","100,00%"
17/07,SuperBet,	[16/07] DISP TOTAL 17/07 BASE MGM D5,pilhado-disp-traf-mgm-d5-sb,"R$ 397,43","4,87","789,00",,"R$ 102,57","0,13%","0,00%","R$ 102,57",,"1,00","0,00","1,00","R$ 500,00","0,00%",#DIV/0!
18/07,SuperBet,	[17/07] DISP TOTAL 18/07 BASE SB D1,pilhado-disp-traf-sb-d1,"-R$ 88,66","0,00","682,00",,"R$ 88,66","0,44%","0,29%","R$ 29,55","R$ 44,33","3,00","2,00","0,00","R$ 0,00","66,67%","0,00%"
18/07,SuperBet, 	[17/07] DISP TOTAL 18/07 BASE MGM D1,pilhado-disp-traf-mgm-d1,"R$ 492,85","69,93","55,00",,"R$ 7,15","0,00%","1,82%",,"R$ 7,15","0,00","1,00","1,00","R$ 500,00",#DIV/0!,"100,00%"
18/07,SuperBet, [17/07] DISP TOTAL 18/07 BASE BETE D1,pilhado-disp-traf-bete-d1,"R$ 470,36","16,87","228,00",,"R$ 29,64","2,19%","0,44%","R$ 5,93","R$ 29,64","5,00","1,00","1,00","R$ 500,00","20,00%","100,00%"
18/07,MGMBET, [17/07] DISP TOTAL 18/07 BASE SB D3,13398,"R$ 499,72","25,64","156,00",,"R$ 20,28","1,28%","0,64%","R$ 10,14","R$ 20,28","2,00","1,00","2,00","R$ 520,00","50,00%","200,00%"
18/07,SuperBet, [17/07] DISP TOTAL 18/07 BASE SB D5,pilhado-disp-sb-d5,"-R$ 90,22","0,00","694,00",,"R$ 90,22","0,14%","0,14%","R$ 90,22","R$ 90,22","1,00","1,00","0,00","R$ 0,00","100,00%","0,00%"
19/07,SuperBet,[18/07] DISP TOTAL 19/07 BASE SB D1,pilhado-disp-traf-sb-d1,"R$ 421,74","6,39","602,00",,"R$ 78,26","0,66%","0,17%","R$ 19,57","R$ 78,26","4,00","1,00","1,00","R$ 500,00","25,00%","100,00%"
19/07,SuperBet,[18/07] DISP TOTAL 19/07 BASE MGM D1,pilhado-disp-traf-mgm-d1,"R$ 970,75","34,19","225,00",,"R$ 29,25","1,78%","1,78%","R$ 7,31","R$ 7,31","4,00","4,00","2,00","R$ 1.000,00","100,00%","50,00%"
19/07,SuperBet,[18/07] DISP TOTAL 19/07 BASE BETE D1,pilhado-disp-traf-bete-d1,"-R$ 31,20","0,00","240,00",,"R$ 31,20","1,67%","0,00%","R$ 7,80",,"4,00","0,00","0,00","R$ 0,00","0,00%",#DIV/0!
19/07,SuperBet,[18/07] DISP TOTAL 19/07 BASE OURO D1,pilhado-disp-traf-d1-ouro,"-R$ 136,89","0,00","1.053,00",,"R$ 136,89","0,47%","0,00%","R$ 27,38",,"5,00","0,00","0,00","R$ 0,00","0,00%",#DIV/0!
19/07,MGMBET,[18/07] DISP TOTAL 19/07 BASE SB D3,13398,"R$ 496,21","21,86","183,00",,"R$ 23,79","1,09%","1,09%","R$ 11,90","R$ 11,90","2,00","2,00","2,00","R$ 520,00","100,00%","100,00%"
19/07,MGMBET,[18/07] DISP TOTAL 19/07 BASE MGM D3,13538,"-R$ 7,15","0,00","55,00",,"R$ 7,15","1,82%","1,82%","R$ 7,15","R$ 7,15","1,00","1,00","0,00","R$ 0,00","100,00%","0,00%"
19/07,NoviBet,[18/07] DISP TOTAL 19/07 FINAL COPA 1,,"-R$ 13.111,67","0,42","172.859,00",,"R$ 22.471,67","0,53%","0,10%","R$ 24,48","R$ 126,25","918,00","178,00","52,00","R$ 9.360,00","19,39%","29,21%"
19/07,NoviBet,[18/07] DISP TOTAL 19/07 FINAL COPA 2,,"-R$ 14.397,67","0,36","173.059,00",,"R$ 22.497,67","0,59%","0,11%","R$ 21,93","R$ 120,96","1.026,00","186,00","45,00","R$ 8.100,00","18,13%","24,19%"
20/07,SuperBet, 	[19/07] DISP TOTAL 20/07 BASE SB D1,pilhado-disp-traf-sb-d1,"R$ 825,28","5,72","1.344,00",,"R$ 174,72","0,52%","0,22%","R$ 24,96","R$ 58,24","7,00","3,00","2,00","R$ 1.000,00","42,86%","66,67%"
20/07,SuperBet, [19/07] DISP TOTAL 20/07 BASE MGM D1,pilhado-disp-traf-mgm-d1,"R$ 470,10","16,72","230,00",,"R$ 29,90","1,74%","1,30%","R$ 7,48","R$ 9,97","4,00","3,00","1,00","R$ 500,00","75,00%","33,33%"
20/07,SuperBet, 	[19/07] DISP TOTAL 20/07 BASE BETE D1,pilhado-disp-traf-bete-d1,"-R$ 281,45","0,00","2.165,00",,"R$ 281,45","0,51%","0,05%","R$ 25,59","R$ 281,45","11,00","1,00","0,00","R$ 0,00","9,09%","0,00%"
20/07,SuperBet, [19/07] DISP TOTAL 20/07 BASE NOVIBET D1,pilhado-disp-traf-novibet-d1,"-R$ 420,23","0,78","14.771,00",,"R$ 1.920,23","0,11%","0,04%","R$ 120,01","R$ 320,04","16,00","6,00","3,00","R$ 1.500,00","37,50%","50,00%"
20/07,MGMBET, 	[19/07] DISP TOTAL 20/07 BASE SB D3,13398,"-R$ 79,56","0,00","612,00",,"R$ 79,56","0,82%","0,33%","R$ 15,91","R$ 39,78","5,00","2,00","0,00","R$ 0,00","40,00%","0,00%"
20/07,MGMBET, [19/07] DISP TOTAL 20/07 BASE MGM D3,13538,"-R$ 6,24","0,00","48,00",,"R$ 6,24","0,00%","0,00%",,,"0,00","0,00","0,00","R$ 0,00",#DIV/0!,#DIV/0!
20/07,MGMBET, 	[19/07] DISP TOTAL 20/07 BASE BETE D3,13540,"-R$ 27,04","0,00","208,00",,"R$ 27,04","0,48%","0,48%","R$ 27,04","R$ 27,04","1,00","1,00","0,00","R$ 0,00","100,00%","0,00%"
21/07,SuperBet, 	[20/07] DISP TOTAL 21/07 BASE SB D1,pilhado-disp-traf-sb-d1,"-R$ 56,68","0,00","436,00",,"R$ 56,68","2,52%","1,15%","R$ 28,34","R$ 28,34","2,00","2,00","0,00","R$ 0,00","100,00%","0,00%"
21/07,MGMBET, 	[20/07] DISP TOTAL 21/07 BASE SB D3,13538,"R$ 702,26","10,03","598,00",,"R$ 77,74","0,00%","0,00%","R$ 7,07","R$ 15,55","11,00","5,00","3,00","R$ 780,00","45,45%","60,00%"
21/07,MGMBET, 	[20/07] DISP TOTAL 21/07 BASE MGM D3 ,13538,"-R$ 27,95","0,00","215,00",,"R$ 27,95","0,00%","0,00%",,,"0,00","0,00","0,00","R$ 0,00",#DIV/0!,#DIV/0!
21/07,MGMBET, 	[20/07] DISP TOTAL 21/07 BASE BETE D3 ,13540,"-R$ 30,42","0,00","234,00",,"R$ 30,42","0,43%","0,43%","R$ 30,42","R$ 30,42","1,00","1,00","0,00","R$ 0,00","100,00%","0,00%"
21/07,MGMBET,	[20/07] DISP TOTAL 21/07 BASE OURO D3 ,13549,"-R$ 134,16","0,00","1.032,00",,"R$ 134,16","0,87%","0,39%","R$ 14,91","R$ 33,54","9,00","4,00","0,00","R$ 0,00","44,44%","0,00%"
21/07,SuperBet,	[20/07] DISP TOTAL 21/07 BASE SB D5 ,pilhado-disp-sb-d5,"-R$ 23,66","0,00","182,00",,"R$ 23,66","0,55%","0,00%","R$ 23,66",,"1,00","0,00","0,00","R$ 0,00","0,00%",#DIV/0!
21/07,SuperBet, 	[20/07] DISP TOTAL 21/07 BASE MGM D5,pilhado-disp-traf-mgm-d5-sb,"-R$ 7,93","0,00","61,00",,"R$ 7,93","1,64%","1,64%","R$ 7,93","R$ 7,93","1,00","1,00","0,00","R$ 0,00","100,00%","0,00%"
