DATA,CASA,PROMOÇÃO/OBJETIVO,UTMs / PIDs,LUCRO/PREJUIZO,ROAS,ENTREGUES,LIDAS,CUSTO,CONV,CONV ftd,C.REG,C.FTD,REGISTROS,FTD,CPAS,CPA ,REG > FTD,FTD > CPA
22/07,SuperBet, [21/07] DISP TOTAL 22/07 BASE SB D1,pilhado-disp-traf-sb-d1,"-R$ 63,70","0,00","490,00",,"R$ 63,70","0,00%","0,20%",,"R$ 63,70","0,00","1,00","0,00","R$ 0,00",#DIV/0!,"0,00%"
22/07,SuperBet, [21/07] DISP TOTAL 22/07 BASE MGM D1,pilhado-disp-traf-mgm-d1,"-R$ 13,52","0,00","104,00",,"R$ 13,52","0,00%","0,00%",,,"0,00","0,00","0,00","R$ 0,00",#DIV/0!,#DIV/0!
22/07,MGMBET, [21/07] DISP TOTAL 22/07 BASE SB D3,13398,"R$ 100,36","1,63","1.228,00",,"R$ 159,64","1,06%","0,41%","R$ 12,28","R$ 31,93","13,00","5,00","1,00","R$ 260,00","38,46%","20,00%"
22/07,MGMBET, [21/07] DISP TOTAL 22/07 BASE MGM D3,13538,"-R$ 27,17","0,00","209,00",,"R$ 27,17","0,96%","0,00%","R$ 13,59",,"2,00","0,00","0,00","R$ 0,00","0,00%",#DIV/0!
22/07,MGMBET, [21/07] DISP TOTAL 22/07 BASE BETE D3,13540,"-R$ 254,02","0,00","1.954,00",,"R$ 254,02","0,00%","0,00%",,,"0,00","0,00","0,00","R$ 0,00",#DIV/0!,#DIV/0!
22/07,MGMBET, [21/07] DISP TOTAL 22/07 BASE NOVIBET D3,13550,"-R$ 1.527,11","0,15","13.747,00",,"R$ 1.787,11","0,20%","0,06%","R$ 66,19","R$ 223,39","27,00","8,00","1,00","R$ 260,00","29,63%","12,50%"
22/07,SuperBet, [21/07] DISP TOTAL 22/07 BASE SB D5,pilhado-disp-sb-d5,"-R$ 76,44","0,00","588,00",,"R$ 76,44","0,00%","0,17%",,"R$ 76,44","0,00","1,00","0,00","R$ 0,00",#DIV/0!,"0,00%"
22/07,SuperBet, [21/07] DISP TOTAL 22/07 BASE MGM D5,pilhado-disp-traf-mgm-d5-sb,"R$ 493,89","81,83","47,00",,"R$ 6,11","0,00%","2,13%",,"R$ 6,11","0,00","1,00","1,00","R$ 500,00",#DIV/0!,"100,00%"
22/07,SuperBet, [21/07] DISP TOTAL 22/07 BASE BETE D5,pilhado-disp-bete-d5-sb,"-R$ 25,48","0,00","196,00",,"R$ 25,48","0,00%","0,00%",,,"0,00","0,00","0,00","R$ 0,00",#DIV/0!,#DIV/0!
23/07,SuperBet, [22/07] DISP TOTAL 23/07 BASE SB D1,pilhado-disp-traf-sb-d1,"-R$ 20,02","0,00","154,00",,"R$ 20,02","2,60%","0,65%","R$ 5,01","R$ 20,02","4,00","1,00","0,00","R$ 0,00","25,00%","0,00%"
23/07,SuperBet, [22/07] DISP TOTAL 23/07 BASE MGM D1,pilhado-disp-traf-mgm-d1,"-R$ 17,03","0,00","131,00",,"R$ 17,03","0,76%","0,76%","R$ 17,03","R$ 17,03","1,00","1,00","0,00","R$ 0,00","100,00%","0,00%"
23/07,MGMBET, [22/07] DISP TOTAL 23/07 BASE SB D3,13398,"R$ 467,87","9,98","401,00",,"R$ 52,13","1,25%","0,75%","R$ 10,43","R$ 17,38","5,00","3,00","2,00","R$ 520,00","60,00%","66,67%"
23/07,SuperBet, [22/07] DISP TOTAL 23/07 BASE SB D5,pilhado-disp-sb-d5,"R$ 187,46","3,58","558,00",,"R$ 72,54","0,00%","0,00%",,,"0,00","0,00","1,00","R$ 260,00",#DIV/0!,#DIV/0!
23/07,SuperBet, [22/07] DISP TOTAL 23/07 BASE MGM D5,pilhado-disp-traf-mgm-d5-sb,"-R$ 25,48","0,00","196,00",,"R$ 25,48","1,02%","0,51%","R$ 12,74","R$ 25,48","2,00","1,00","0,00","R$ 0,00","50,00%","0,00%"
23/07,SuperBet, [22/07] DISP TOTAL 23/07 BASE BETE D5,pilhado-disp-bete-d5-sb,"-R$ 29,38","0,00","226,00",,"R$ 29,38","0,00%","0,00%",,,"0,00","0,00","0,00","R$ 0,00",#DIV/0!,#DIV/0!
23/07,SuperBet, [22/07] DISP TOTAL 23/07 BASE OURO D5,pilhado-disp-ouro-d5,"-R$ 122,46","0,00","942,00",,"R$ 122,46","0,00%","0,00%",,,"0,00","0,00","0,00","R$ 0,00",#DIV/0!,#DIV/0!
25/07,SuperBet, [24/07] DISP TOTAL 25/07 BASE SB D1,pilhado-disp-traf-sb-d1,"-R$ 16,51","0,00","127,00",,"R$ 16,51","0,79%","1,57%","R$ 16,51","R$ 8,26","1,00","2,00","0,00","R$ 0,00","200,00%","0,00%"
25/07,SuperBet, [24/07] DISP TOTAL 25/07 BASE MGM D1,pilhado-disp-traf-mgm-d1,"-R$ 17,68","0,00","136,00",,"R$ 17,68","0,00%","0,00%",,,"0,00","0,00","0,00","R$ 0,00",#DIV/0!,#DIV/0!
25/07,SuperBet, [24/07] DISP TOTAL 25/07 BASE VAIDEBET D1,pilhado-disp-traf-vaidebet-d1,"R$ 212,68","5,49","364,00",,"R$ 47,32","1,10%","0,55%","R$ 11,83","R$ 23,66","4,00","2,00","1,00","R$ 260,00","50,00%","50,00%"
25/07,MGMBET, [24/07] DISP TOTAL 25/07 BASE SB D3,13398,"R$ 200,59","4,38","457,00",,"R$ 59,41","1,09%","0,22%","R$ 11,88","R$ 59,41","5,00","1,00","1,00","R$ 260,00","20,00%","100,00%"
25/07,MGMBET, [24/07] DISP TOTAL 25/07 BASE MGM D3,13538,"-R$ 11,96","0,00","92,00",,"R$ 11,96","0,00%","0,00%",,,"0,00","0,00","0,00","R$ 0,00",#DIV/0!,#DIV/0!
25/07,SuperBet, [24/07] DISP TOTAL 25/07 BASE SB D5,pilhado-disp-sb-d5,"-R$ 154,18","0,00","1.186,00",,"R$ 154,18","0,34%","0,00%","R$ 38,55",,"4,00","0,00","0,00","R$ 0,00","0,00%",#DIV/0!
25/07,SuperBet, [24/07] DISP TOTAL 25/07 BASE MGM D5,pilhado-disp-traf-mgm-d5-sb,"-R$ 26,00","0,00","200,00",,"R$ 26,00","0,00%","0,00%",,,"0,00","0,00","0,00","R$ 0,00",#DIV/0!,#DIV/0!
25/07,SuperBet, [24/07] DISP TOTAL 25/07 BASE BETE D5,pilhado-disp-bete-d5-sb,"-R$ 241,67","0,00","1.859,00",,"R$ 241,67","0,16%","0,00%","R$ 80,56",,"3,00","0,00","0,00","R$ 0,00","0,00%",#DIV/0!
25/07,SuperBet, [24/07] DISP TOTAL 25/07 BASE NOVIBET D5,pilhado-disp-traf-novi-d5-sb,"-R$ 1.208,98","0,29","13.146,00",,"R$ 1.708,98","0,06%","0,02%","R$ 213,62","R$ 569,66","8,00","3,00","1,00","R$ 500,00","37,50%","33,33%"
26/07,SuperBet,  [25/07] DISP TOTAL 26/07 BASE SB D1,pilhado-disp-traf-sb-d1,"R$ 976,08","41,81","184,00",,"R$ 23,92","2,17%","1,63%","R$ 5,98","R$ 7,97","4,00","3,00","2,00","R$ 1.000,00","75,00%","66,67%"
26/07,SuperBet,  [25/07] DISP TOTAL 26/07 BASE MGM D1,pilhado-disp-traf-mgm-d1,"R$ 483,62","30,53","126,00",,"R$ 16,38","0,79%","0,79%","R$ 16,38","R$ 16,38","1,00","1,00","1,00","R$ 500,00","100,00%","100,00%"
26/07,SuperBet,  [25/07] DISP TOTAL 26/07 BASE VAIDEBET D1,pilhado-disp-traf-vaidebet-d1,"R$ 473,09","18,58","207,00",,"R$ 26,91","0,00%","0,00%",,,"0,00","0,00","1,00","R$ 500,00",#DIV/0!,#DIV/0!
26/07,SuperBet,  [25/07] DISP TOTAL 26/07 BASE NOVIBET D1,pilhado-disp-traf-novibet-d1,"-R$ 5,20","0,00","40,00",,"R$ 5,20","0,00%","0,00%",,,"0,00","0,00","0,00","R$ 0,00",#DIV/0!,#DIV/0!
26/07,MGMBET,  [25/07] DISP TOTAL 26/07 BASE SB D3,13398,"R$ 980,76","51,98","148,00",,"R$ 19,24","0,68%","0,00%","R$ 19,24",,"1,00","0,00","2,00","R$ 1.000,00","0,00%",#DIV/0!
26/07,MGMBET,  [25/07] DISP TOTAL 26/07 BASE MGM D3,13538,"-R$ 16,51","0,00","127,00",,"R$ 16,51","0,79%","0,00%","R$ 16,51",,"1,00","0,00","0,00","R$ 0,00","0,00%",#DIV/0!
26/07,SuperBet,  [25/07] DISP TOTAL 26/07 BASE SB D5,pilhado-disp-traf-mgm-d5-sb,"-R$ 50,05","0,00","385,00",,"R$ 50,05","0,52%","0,26%","R$ 25,03","R$ 50,05","2,00","1,00","0,00","R$ 0,00","50,00%","0,00%"
27/07,SuperBet,  [27/07] DISP TOTAL 27/07 BASE SB D1,pilhado-disp-traf-sb-d1,"-R$ 27,56","0,00","212,00",,"R$ 27,56","0,47%","0,00%","R$ 27,56",,"1,00","0,00","0,00","R$ 0,00","0,00%",#DIV/0!
27/07,SuperBet,  [27/07] DISP TOTAL 27/07 BASE MGM D1,pilhado-disp-traf-mgm-d1,"R$ 486,48","36,98","104,00",,"R$ 13,52","0,96%","0,96%","R$ 13,52","R$ 13,52","1,00","1,00","1,00","R$ 500,00","100,00%","100,00%"
27/07,SuperBet,  [27/07] DISP TOTAL 27/07 BASE VAIDEBET D1,pilhado-disp-traf-vaidebet-d1,"-R$ 81,51","0,00","627,00",,"R$ 81,51","0,48%","0,00%","R$ 27,17",,"3,00","0,00","0,00","R$ 0,00","0,00%",#DIV/0!
27/07,MGMBET,  [27/07] DISP TOTAL 27/07 BASE SB D3,13398,"-R$ 16,51","0,00","127,00",,"R$ 16,51","3,94%","2,36%","R$ 3,30","R$ 5,50","5,00","3,00","0,00","R$ 0,00","60,00%","0,00%"
27/07,MGMBET,[27/07] DISP TOTAL 27/07 BASE MGM D3,13538,"-R$ 17,42","0,00","134,00",,"R$ 17,42","0,00%","0,00%",,,"0,00","0,00","0,00","R$ 0,00",#DIV/0!,#DIV/0!
27/07,MGMBET,[27/07] DISP TOTAL 27/07 BASE VAIDEBET D3,13547,"-R$ 46,15","0,00","355,00",,"R$ 46,15","0,56%","0,28%","R$ 23,08","R$ 46,15","2,00","1,00","0,00","R$ 0,00","50,00%","0,00%"
27/07,SuperBet,[27/07] DISP TOTAL 27/07 BASE MGM D5,pilhado-disp-traf-mgm-d5-sb,"-R$ 11,70","0,00","90,00",,"R$ 11,70","0,00%","0,00%",,,"0,00","0,00","0,00","R$ 0,00",#DIV/0!,#DIV/0!
27/07,SuperBet,[27/07] DISP TOTAL 27/07 BASE SB D5,pilhado-disp-sb-d5,"R$ 442,28","8,66","444,00",,"R$ 57,72","0,23%","0,23%","R$ 57,72","R$ 57,72","1,00","1,00","1,00","R$ 500,00","100,00%","100,00%"
28/07,MGMBET,  [28/07] DISP TOTAL 28/07 BASE SB D3,13398,"-R$ 22,23","0,00","171,00",,"R$ 22,23","1,75%","1,17%","R$ 7,41","R$ 11,12","3,00","2,00","0,00","R$ 0,00","66,67%","0,00%"
28/07,MGMBET,  [28/07] DISP TOTAL 28/07 BASE MGM D3,13538,"-R$ 14,43","0,00","111,00",,"R$ 14,43","0,00%","0,00%",,,"0,00","0,00","0,00","R$ 0,00",#DIV/0!,#DIV/0!
28/07,MGMBET,  [28/07] DISP TOTAL 28/07 BASE NOVIBET D3,13550,"-R$ 5,07","0,00","39,00",,"R$ 5,07","0,00%","0,00%",,,"0,00","0,00","0,00","R$ 0,00",#DIV/0!,#DIV/0!
28/07,MGMBET,  [28/07] DISP TOTAL 28/07 BASE VAIDEBET D3,13547,"-R$ 25,74","0,00","198,00",,"R$ 25,74","1,52%","0,51%","R$ 8,58","R$ 25,74","3,00","1,00","0,00","R$ 0,00","33,33%","0,00%"
28/07,SuperBet,  [28/07] DISP TOTAL 28/07 BASE SB D5,pilhado-disp-sb-d5,"-R$ 18,59","0,00","143,00",,"R$ 18,59","0,00%","0,00%",,,"0,00","0,00","0,00","R$ 0,00",#DIV/0!,#DIV/0!
28/07,SuperBet,  [28/07] DISP TOTAL 28/07 BASE MGM D5,pilhado-disp-traf-mgm-d5-sb,"-R$ 15,60","0,00","120,00",,"R$ 15,60","0,00%","0,00%",,,"0,00","0,00","0,00","R$ 0,00",#DIV/0!,#DIV/0!
29/07,SuperBet,[28/07] DISP TOTAL 29/07 BASE SB D1,pilhado-disp-traf-sb-d1,"-R$ 21,84","0,00","168,00",,"R$ 21,84","0,00%","0,00%",,,"0,00","0,00","0,00","R$ 0,00",#DIV/0!,#DIV/0!
29/07,SuperBet,[28/07] DISP TOTAL 29/07 BASE MGM D1,pilhado-disp-traf-mgm-d1,"-R$ 26,78","0,00","206,00",,"R$ 26,78","0,00%","0,00%",,,"0,00","0,00","0,00","R$ 0,00",#DIV/0!,#DIV/0!
29/07,MGMBET,[28/07] DISP TOTAL 29/07 BASE SB D3,13398,"R$ 235,04","10,42","192,00",,"R$ 24,96","2,60%","2,08%","R$ 4,99","R$ 6,24","5,00","4,00","1,00","R$ 260,00","80,00%","25,00%"
29/07,MGMBET,[28/07] DISP TOTAL 29/07 BASE MGM D3,13538,"-R$ 11,96","0,00","92,00",,"R$ 11,96","1,09%","1,09%","R$ 11,96","R$ 11,96","1,00","1,00","0,00","R$ 0,00","100,00%","0,00%"
29/07,MGMBET,[28/07] DISP TOTAL 29/07 BASE VAIDEBET D3,13547,"R$ 184,86","3,46","578,00",,"R$ 75,14","0,87%","0,52%","R$ 15,03","R$ 25,05","5,00","3,00","1,00","R$ 260,00","60,00%","33,33%"
29/07,SuperBet,[28/07] DISP TOTAL 29/07 BASE SB D5,pilhado-disp-sb-d5,"-R$ 15,86","0,00","122,00",,"R$ 15,86","0,00%","0,00%",,,"0,00","0,00","0,00","R$ 0,00",#DIV/0!,#DIV/0!
29/07,SuperBet,[28/07] DISP TOTAL 29/07 BASE MGM D5,pilhado-disp-traf-mgm-d5-sb,"-R$ 16,77","0,00","129,00",,"R$ 16,77","0,00%","0,00%",,,"0,00","0,00","0,00","R$ 0,00",#DIV/0!,#DIV/0!
29/07,SuperBet,[28/07] DISP TOTAL 29/07 BASE VAIDEBET D5,pilhado-disp-traf-vaidebet-d5-sb,"-R$ 45,24","0,00","348,00",,"R$ 45,24","0,00%","0,00%",,,"0,00","0,00","0,00","R$ 0,00",#DIV/0!,#DIV/0!
30/07,SuperBet,[29/07] DISP TOTAL 30/07 BASE SB D1,pilhado-disp-traf-sb-d1,"-R$ 7,41","0,00","57,00",,"R$ 7,41","0,00%","0,00%",,,"0,00","0,00","0,00","R$ 0,00",#DIV/0!,#DIV/0!
30/07,SuperBet,[29/07] DISP TOTAL 30/07 BASE MGM D1,pilhado-disp-traf-mgm-d1,"-R$ 20,41","0,00","157,00",,"R$ 20,41","0,00%","0,00%",,,"0,00","0,00","0,00","R$ 0,00",#DIV/0!,#DIV/0!
30/07,SuperBet,[29/07] DISP TOTAL 30/07 BASE SB D5,pilhado-disp-sb-d5,"-R$ 20,54","0,00","158,00",,"R$ 20,54","0,00%","0,00%",,,"0,00","0,00","0,00","R$ 0,00",#DIV/0!,#DIV/0!
30/07,SuperBet,[29/07] DISP TOTAL 30/07 BASE MGM D5,pilhado-disp-traf-mgm-d5-sb,"-R$ 12,35","0,00","95,00",,"R$ 12,35","0,00%","0,00%",,,"0,00","0,00","0,00","R$ 0,00",#DIV/0!,#DIV/0!
30/07,SuperBet,[29/07] DISP TOTAL 30/07 BASE VAIDEBET D5,pilhado-disp-traf-vaidebet-d5-sb,"-R$ 24,31","0,00","187,00",,"R$ 24,31","0,00%","0,00%",,,"0,00","0,00","0,00","R$ 0,00",#DIV/0!,#DIV/0!
30/07,SuperBet,[29/07] DISP TOTAL 30/07 BASE NOVIBET D5,pilhado-disp-traf-novi-d5-sb,"-R$ 4,68","0,00","36,00",,"R$ 4,68","0,00%","0,00%",,,"0,00","0,00","0,00","R$ 0,00",#DIV/0!,#DIV/0!
30/07,MGMBET, [29/07] DISP TOTAL 30/07 BOLAO MGM,13551,"-R$ 3.140,54","0,00","24.158,00",,"R$ 3.140,54","0,00%","0,00%",,,"0,00","0,00","0,00","R$ 0,00",#DIV/0!,#DIV/0!
15/07,Selecione,[14/07] DISP 15/07 RMKT LOW TICKET,-,"R$ 0,00","0,00","0,00",,"R$ 0,00","0,00%","0,00%",,,"0,00","0,00","0,00","R$ 0,00",,
20/07,SuperBet,[19/07] DISP TOTAL 20/07 BASE SB D5,pilhado-disp-sb-d5,"R$ 0,00","0,00","0,00",,"R$ 0,00","0,00%","0,00%",,,"0,00","0,00","0,00","R$ 0,00",,
,,,,"R$ 190.128,15","1,34","4.286.245,00",,"R$ 557.211,85","0,20%","0,08%","R$ 64,93","R$ 167,33","8.582,00","3.330,00","1.587,00","R$ 747.340,00","38,80%","47,66%"
